rowid,kepid,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,TARGET
,,CANDIDATE,934,0.0,0.0,0.0,0.0,10.1747037000,0.0001260000,-0.0001260000,132.3605000000,0.0119000000,-0.0119000000,726.0000000000,225.0000000000,-517.0000000000,5179.0000000000,419.0000000000,-419.0000000000,,5.2000000000,,1.0400000000,0.1600000000,-0.2000000000,985.0000000000,222.5300000000,96.7700000000,-88.2300000000,11.8000000000,,5866.0000000000,105.0000000000,-117.0000000000,4191.0000000000,,,1339.0000000000,209.0000000000,-256.0000000000,,41.3324320000,13.3130000000,
2382,4991208,CANDIDATE,,0.0,0.0,0.0,0.0,2.4435854300,0.0144600000,,,0.0048000000,-0.0048000000,258.0000000000,0.1900000000,,1852.0000000000,142.0000000000,-142.0000000000,59.1000000000,6.1000000000,,0.6700000000,0.0700000000,-0.0500000000,1249.0000000000,,,,11.9000000000,,5561.0000000000,111.0000000000,-111.0000000000,4.4860000000,0.0720000000,-0.0800000000,873.0000000000,,-66.0000000000,284.4594700000,40.1425590000,13.3480000000,0.0
,,FALSE POSITIVE,0.0,0.0,0.0,1.0,,1.7592691000,,-0.0157300000,132.0755200000,0.0080400000,-0.0080400000,564.0000000000,0.0000000000,,,199.0000000000,-199.0000000000,,12.3000000000,,1.2100000000,0.3500000000,-0.1800000000,1519.0000000000,1254.9400000000,1091.7700000000,,13.5000000000,1.0000000000,5784.0000000000,,,4416.0000000000,105.0000000000,-195.0000000000,984.0000000000,285.0000000000,-142.0000000000,295.2315100000,44.1129000000,15.2290000000,1.0
2384,9837661,,,0.0,0.0,,0.0,2.2264961960,,-0.0053170000,133.3719500000,,-0.0025800000,48.0000000000,396.0000000000,-48.0000000000,,0.0513000000,,1839.1000000000,59.7000000000,-59.7000000000,2.1000000000,0.1300000000,-0.2300000000,697.0000000000,55.7600000000,12.6100000000,-15.9200000000,,2.0000000000,3640.0000000000,81.0000000000,-90.0000000000,4744.0000000000,0.0560000000,-24.0000000000,503.0000000000,0.0300000000,-56.0000000000,294.5285900000,46.6409680000,16835.0000000000,0.0
,9837661,CANDIDATE,1.0,0.0,0.0,0.0,0.0,,0.0000362000,-0.0000362000,,0.0061600000,-0.0061600000,166.0000000000,305.0000000000,-166.0000000000,2744.0000000000,,,1316.0000000000,73.0000000000,-73.0000000000,1.7800000000,0.1100000000,-0.2000000000,,15.8400000000,3.5800000000,-4.5200000000,,3.0000000000,,,-90.0000000000,4744.0000000000,0.0560000000,-24.0000000000,503.0000000000,0.0300000000,-56.0000000000,294.5285900000,46.6409680000,,2.0
,9092504,CANDIDATE,,0.0,,0.0,0.0,0.9628641710,0.0021060000,,132.1254800000,0.0018100000,-0.0018100000,736.0000000000,19.0000000000,-532.0000000000,,0.0562000000,-0.0562000000,303.5000000000,11.3000000000,,1.5200000000,0.3600000000,,,1828.6700000000,1338.0300000000,,31.6000000000,1.0000000000,5704.0000000000,169.0000000000,-186.0000000000,4575.0000000000,0.0400000000,-0.1600000000,804.0000000000,,-77.0000000000,293.2045300000,45.4353980000,15.8100000000,0.0
2387,,CANDIDATE,1.0,0.0,0.0,0.0,0.0,16.2384773300,0.0147700000,-0.0147700000,,0.0006950000,-0.0006950000,766.0000000000,43.0000000000,,3.9699000000,,-0.0341000000,646.7000000000,,-5.8000000000,2.7600000000,,-0.2400000000,,60.3500000000,26.2200000000,-14.0200000000,125.8000000000,1.0000000000,5683.0000000000,114.0000000000,-114.0000000000,4422.0000000000,85.0000000000,-114.0000000000,993.0000000000,0.1500000000,,297.0696100000,40.5251310000,,0.0
2388,10001368,CANDIDATE,1.0,0.0,0.0,,0.0,4.7683103300,0.0191100000,-0.0191100000,134.8611600000,0.0044700000,,191.0000000000,272.0000000000,-191.0000000000,3.2363000000,,-0.0683000000,251.8000000000,,-8.2000000000,1.7800000000,0.6000000000,-0.2600000000,1219.0000000000,522.8100000000,532.0200000000,-199.7100000000,35.4000000000,1.0000000000,6237.0000000000,194.0000000000,-259.0000000000,4374.0000000000,0.0900000000,-0.2100000000,1116.0000000000,375.0000000000,-161.0000000000,287.0863000000,46.9458080000,14083.0000000000,0.0
2389,9466429,,996,0.0,0.0,0.0,0.0,44.6167510000,0.0003014000,-0.0003014000,164.4523800000,0.0055100000,-0.0055100000,618.0000000000,46.0000000000,-468.0000000000,7831.0000000000,153.0000000000,,239.7000000000,,-9.6000000000,2.3100000000,0.7000000000,,693.0000000000,,47.7300000000,-24.3000000000,28.4000000000,,6763.0000000000,182.0000000000,-243.0000000000,4.2200000000,0.1440000000,-0.1760000000,1424.0000000000,425.0000000000,-283.0000000000,292.4779700000,46.0228310000,13.7910000000,0.0
2390,4365442,FALSE POSITIVE,,,,,1.0,1.7144103450,0.0088940000,-0.0088940000,131.8654900000,0.0044900000,,0.5600000000,385.0000000000,-336.0000000000,3336.0000000000,141.0000000000,-141.0000000000,,,-2.6000000000,1.8400000000,,-0.6900000000,2551.0000000000,,,-6583.5000000000,,1.0000000000,6340.0000000000,,-187.0000000000,,0.3300000000,,,404.0000000000,,,39.4288600000,13297.0000000000,1.0
2391,8885643,CANDIDATE,1.0,0.0,0.0,,0.0,,,-0.0112100000,132.0619500000,0.0025800000,-0.0025800000,906.0000000000,28.0000000000,-682.0000000000,1.9617000000,0.0846000000,-0.0846000000,155.9000000000,9.0000000000,,1.3400000000,0.4100000000,-0.1300000000,1236.0000000000,552.4200000000,495.0400000000,-158.3500000000,19.9000000000,1.0000000000,6177.0000000000,169.0000000000,-188.0000000000,4516.0000000000,0.0400000000,-0.2160000000,906.0000000000,276.0000000000,-92.0000000000,291.8413100000,45.1791800000,,0.0
2392,5652893,,1.0,0.0,0.0,,0.0,14.0094863100,0.0667600000,,132.9694700000,0.0036800000,-0.0036800000,268.0000000000,,,3399.0000000000,122.0000000000,-122.0000000000,,8.6000000000,-8.6000000000,0.9800000000,,-0.0500000000,617.0000000000,34.3200000000,6.8800000000,-6.3200000000,,1.0000000000,5153.0000000000,102.0000000000,-102.0000000000,,49.0000000000,-0.0360000000,767.0000000000,41.0000000000,-46.0000000000,299.6596100000,40.8438490000,13.3800000000,0.0
2393,3241557,FALSE POSITIVE,0.0,0.0,0.0,1.0,1.0,1.7033591720,0.0094620000,-0.0094620000,132.4618500000,0.0049200000,-0.0049200000,152.0000000000,312.0000000000,-152.0000000000,1914.0000000000,,,57.6000000000,4.9000000000,-4.9000000000,,0.2100000000,-0.0700000000,,1284.5800000000,1116.2600000000,-359.7600000000,13.9000000000,1.0000000000,6026.0000000000,162.0000000000,-180.0000000000,4503.0000000000,65.0000000000,-195.0000000000,904.0000000000,268.0000000000,,293.0780600000,,13.7780000000,1.0
2394,,FALSE POSITIVE,1,0.0,,1.0,0.0,3.7788166400,0.0408900000,-0.0408900000,134208.0000000000,0.0092300000,-0.0092300000,628.0000000000,302.0000000000,-408.0000000000,5819.0000000000,0.2900000000,-0.2900000000,47.1000000000,2.5000000000,-2.5000000000,3.9900000000,0.1000000000,-1.9200000000,2580.0000000000,10473.5700000000,,-7977.5700000000,,1.0000000000,6115.0000000000,201.0000000000,-183.0000000000,3267.0000000000,447.0000000000,-47.0000000000,5544.0000000000,0.1400000000,-2668.0000000000,292.2378200000,39.0050700000,12923.0000000000,1.0
2395,,CANDIDATE,,0.0,0.0,0.0,0.0,1.3115589090,,-0.0000057640,131.5328300000,0.0039800000,,,246.0000000000,-218.0000000000,1919.0000000000,,-0.1200000000,141.3000000000,9.7000000000,,,0.3500000000,-0.1200000000,1655.0000000000,1776.9900000000,1616.1000000000,-534.4800000000,17.2000000000,1.0000000000,5926.0000000000,164.0000000000,-205.0000000000,4501.0000000000,,,963.0000000000,,-99.0000000000,,44.8395500000,15.3710000000,0.0
2396,4138951,CANDIDATE,0.99,,0.0,0.0,0.0,1.2912330830,0.0000057120,-0.0000057120,131.9910500000,0.0037000000,-0.0037000000,0.2000000000,258.0000000000,,1855.0000000000,,-123.0000000000,,5.1000000000,-5.1000000000,0.8900000000,,,1887.0000000000,,2475.7900000000,,15.9000000000,1.0000000000,,153.0000000000,,4419.0000000000,62.0000000000,-0.2000000000,1086.0000000000,314.0000000000,-134.0000000000,285.7520400000,39.2492100000,14135.0000000000,0.0
,3102384,CANDIDATE,1.0,0.0,0.0,0.0,0.0,10.5737514470,,-0.0000084880,175.0677390000,0.0006390000,,785.0000000000,,,,0.0182000000,-0.0182000000,298.9000000000,,-4.3000000000,2.0700000000,0.0500000000,-0.0700000000,844.0000000000,120.2500000000,13.0300000000,,82.0000000000,1.0000000000,5720.0000000000,77.0000000000,-77.0000000000,4.4000000000,12.0000000000,-12.0000000000,1.0800000000,27.0000000000,-33.0000000000,287.4785200000,38.2288400000,11457.0000000000,0.0
2398,10471515,CANDIDATE,992,0.0,0.0,0.0,,3.7847507000,,,,0.0081300000,-0.0081300000,21.0000000000,435.0000000000,-21.0000000000,2924.0000000000,254.0000000000,-254.0000000000,33.5000000000,3.2000000000,,0.7000000000,0.1100000000,-0.0800000000,1311.0000000000,,319.0800000000,-192.3500000000,12.2000000000,,6017.0000000000,,-131.0000000000,4.3260000000,84.0000000000,,,199.0000000000,,,47.6642000000,12581.0000000000,0.0
2399,4935172,,785,0.0,0.0,0.0,,2.1729105500,0.0139600000,,131.7355200000,0.0058700000,-0.0058700000,362.0000000000,101.0000000000,-362.0000000000,2139.0000000000,174.0000000000,-174.0000000000,76.4000000000,6.7000000000,,0.9300000000,0.3000000000,-0.1000000000,1507.0000000000,1220.4900000000,1174.8300000000,-379.4500000000,,1.0000000000,6164.0000000000,171.0000000000,-214.0000000000,4.4460000000,0.0540000000,-0.2160000000,1045.0000000000,341.0000000000,-114.0000000000,294.8631900000,40.0075110000,14.2290000000,2.0
2400,8760040,CANDIDATE,,0.0,,0.0,,18.2206024000,0.0001324000,-0.0001324000,141.3760700000,0.0061700000,-0.0061700000,125.0000000000,326.0000000000,-125.0000000000,,0.1500000000,,,11.2000000000,-11.2000000000,1.7800000000,,-0.2300000000,786.0000000000,90.4300000000,38.4000000000,,19.7000000000,,5951.0000000000,71.0000000000,,4283.0000000000,0.1200000000,-0.1200000000,1262.0000000000,209.0000000000,-168.0000000000,,44.9182890000,14544.0000000000,0.0
2401,8760040,CANDIDATE,913,0.0,0.0,,,,0.0000557000,,133.6395100000,0.0064300000,-0.0064300000,,,,2757.0000000000,186.0000000000,,115.9000000000,10.0000000000,-10.0000000000,,,-0.1900000000,1064.0000000000,303.0800000000,128.7100000000,-87.1700000000,12.8000000000,,5951.0000000000,71.0000000000,,4283.0000000000,0.1200000000,-0.1200000000,1262.0000000000,209.0000000000,-168.0000000000,294.3364600000,,14544.0000000000,
2402,10098844,CANDIDATE,985,0.0,0.0,,,,0.0006945000,-0.0006945000,173.4565000000,0.0115000000,,16.0000000000,449.0000000000,-16.0000000000,10675.0000000000,377.0000000000,-377.0000000000,206.4000000000,,,1.6100000000,0.2800000000,-0.1800000000,,21.8200000000,,,16.9000000000,1.0000000000,6007.0000000000,108.0000000000,-133.0000000000,,,-126.0000000000,1126.0000000000,193.0000000000,-128.0000000000,,47.0758400000,14089.0000000000,
2403,9467404,CANDIDATE,,0.0,0.0,,0.0,0.9299061660,0.0000007770,-0.0000007770,132.2512600000,,-0.0007250000,102.0000000000,338.0000000000,-101.0000000000,1743.0000000000,21.0000000000,-21.0000000000,108.7000000000,1.6000000000,,,0.2400000000,-0.2800000000,2291.0000000000,,3148.4600000000,-2514.2100000000,79.7000000000,1.0000000000,6039.0000000000,134.0000000000,-121.0000000000,4169.0000000000,168.0000000000,-0.1120000000,1413.0000000000,234.0000000000,-0.2600000000,292.8722800000,46.0988810000,12.4100000000,0.0
2404,5308666,FALSE POSITIVE,0.0,0.0,,,1.0,0.7845130870,0.0000013420,-0.0000013420,131.9875100000,,-0.0013700000,29.0000000000,0.3300000000,,1.9206000000,0.0516000000,-0.0516000000,316.6000000000,,-8.1000000000,131.4000000000,3.3500000000,-26.7900000000,10634.0000000000,3036857.5600000000,416291.9300000000,-1313641.7200000000,47.7000000000,1.0000000000,,76.0000000000,-105.0000000000,,,-0.0300000000,78869.0000000000,2.0100000000,-16083.0000000000,,,,1.0
2405,,CANDIDATE,1.0,0.0,,0.0,0.0,4.1158551400,0.0000116000,-0.0000116000,134.1172600000,0.0024100000,-0.0024100000,807.0000000000,19.0000000000,-0.5700000000,1.4858000000,,,,,-24.9000000000,1.9300000000,,-0.2000000000,895.0000000000,151.5500000000,,-43.8900000000,20.8000000000,,4827.0000000000,,-144.0000000000,4508.0000000000,84.0000000000,,,56.0000000000,-86.0000000000,291.1849700000,40.3112110000,15.1410000000,0.0
2406,8176564,CANDIDATE,,0.0,0.0,0.0,0.0,6.5715943500,,-0.0229100000,,0.0029200000,-0.0029200000,751.0000000000,226.0000000000,-513.0000000000,3.1044000000,0.0854000000,-0.0854000000,65.7000000000,2.5000000000,-2.5000000000,1.2600000000,0.0600000000,,,507.8100000000,76.7200000000,-61.0000000000,30.7000000000,1.0000000000,6042.0000000000,81.0000000000,-81.0000000000,,12.0000000000,-0.0130000000,1432.0000000000,64.0000000000,,295.4396700000,44.0391620000,,2.0
,,,1.0,0.0,0.0,,0.0,33.8786390000,0.0002187000,-0.0002187000,160.2186900000,0.0044400000,,923.0000000000,3.0000000000,,6194.0000000000,134.0000000000,,700.1000000000,,-28.4000000000,3.5200000000,0.4900000000,-0.5000000000,,24.0000000000,8.8900000000,,27.9000000000,1.0000000000,5533.0000000000,,-74.0000000000,4348.0000000000,126.0000000000,-0.1030000000,1072.0000000000,0.1500000000,-0.1500000000,285.0172100000,42.0853810000,15.1600000000,0.0
2408,11662184,CANDIDATE,995,,0.0,0.0,0.0,27.5722144000,0.0002237000,-0.0002237000,145.3954300000,0.0073100000,-0.0073100000,562.0000000000,24.0000000000,-468.0000000000,,205.0000000000,,296.3000000000,17.1000000000,-17.1000000000,,0.3100000000,-0.1700000000,636.0000000000,38.6200000000,15.8200000000,,20.0000000000,1.0000000000,5912.0000000000,70.0000000000,,4397.0000000000,63.0000000000,-0.1170000000,,,-93.0000000000,292.0874600000,,14718.0000000000,
2409,11127479,CANDIDATE,1.0,0.0,,0.0,,2.1282162100,0.0111500000,,,0.0042600000,,98.0000000000,,-98.0000000000,3146.0000000000,106.0000000000,-106.0000000000,25.9000000000,1.3000000000,,0.7000000000,0.0200000000,-0.0300000000,,1831.5500000000,,,,1.0000000000,,71.0000000000,-83.0000000000,4227.0000000000,0.0140000000,-16.0000000000,1377.0000000000,39.0000000000,,286.3383500000,48.7440990000,,0.0
2410,5428668,FALSE POSITIVE,0.0,1.0,0.0,1.0,0.0,0.7033999120,0.0000007880,-0.0000007880,131.6592900000,0.0010300000,-0.0010300000,,65.0000000000,,823.0000000000,0.0417000000,-0.0417000000,531.4000000000,21.4000000000,-21.4000000000,2.1500000000,,-0.2100000000,2013.0000000000,3879.3100000000,,-1084.5800000000,32.0000000000,1.0000000000,5955.0000000000,179.0000000000,,,0.0370000000,-213.0000000000,0.9100000000,283.0000000000,-89.0000000000,,40.6935080000,15728.0000000000,1.0
,5041569,,,0.0,,,0.0,2.5355023000,0.0182600000,-0.0182600000,132.2005400000,0.0066800000,-0.0066800000,,0.0200000000,,7189.0000000000,,-715.0000000000,354.6000000000,13.0000000000,-13.0000000000,2.7000000000,,-0.3200000000,,,1160.9100000000,-384.4200000000,37.6000000000,1.0000000000,6268.0000000000,173.0000000000,-260.0000000000,4.4290000000,0.0560000000,-0.2380000000,1.1000000000,384.0000000000,,298.8536100000,40.1310880000,15273.0000000000,1.0
2412,10604521,CANDIDATE,1.0,0.0,0.0,0.0,,0.8681222530,0.0027230000,-0.0027230000,131.8321200000,0.0027800000,-0.0027800000,,433.0000000000,-6.0000000000,1.5471000000,66.0000000000,,231.3000000000,,-11.4000000000,1.6500000000,0.5400000000,-0.1700000000,2047.0000000000,4163.1400000000,4139.8200000000,-1330.4600000000,23.2000000000,1.0000000000,6116.0000000000,190.0000000000,-253.0000000000,4.4400000000,0.0520000000,-0.2080000000,1084.0000000000,356.0000000000,-111.0000000000,293.6835600000,47.8331410000,15.8000000000,2.0
2413,9899181,FALSE POSITIVE,0.0,,0.0,,,1.3325605530,0.0000093210,-0.0000093210,132.0530300000,0.0066200000,,0.3700000000,,,3315.0000000000,155.0000000000,,31.7000000000,1.5000000000,-1.5000000000,,0.0200000000,-0.0200000000,,574.9900000000,131.5000000000,-82.1800000000,,1.0000000000,4947.0000000000,98.0000000000,-98.0000000000,4621.0000000000,12.0000000000,,714.0000000000,47.0000000000,-26.0000000000,,46.7723050000,12912.0000000000,
2414,9899181,FALSE POSITIVE,,1.0,0.0,0.0,0.0,,0.0014290000,,139.0725000000,0.0509000000,-0.0509000000,285.0000000000,156.0000000000,-285.0000000000,22.2700000000,,-1.7000000000,24.3000000000,1.9000000000,-1.9000000000,,0.0300000000,,516.0000000000,16.7000000000,3.8200000000,-2.3800000000,,2.0000000000,4947.0000000000,,-98.0000000000,,12.0000000000,,714.0000000000,47.0000000000,-26.0000000000,295.1505100000,46.7723050000,12912.0000000000,
,8884274,CANDIDATE,1.0,,0.0,0.0,0.0,,0.0645100000,-0.0645100000,136.0899400000,0.0054100000,-0.0054100000,51.0000000000,,-51.0000000000,2684.0000000000,127.0000000000,-127.0000000000,740.7000000000,48.8000000000,,2.2000000000,0.4900000000,,,69.8100000000,48.1700000000,-19.5000000000,,1.0000000000,5602.0000000000,,,4.5710000000,0.0360000000,-0.1440000000,817.0000000000,181.0000000000,-72.0000000000,291.3499800000,45.1722720000,15.9700000000,
2416,,CANDIDATE,1.0,0.0,0.0,0.0,0.0,3.3004081800,0.0000221000,,,,-0.0060200000,8.0000000000,446.0000000000,-8.0000000000,4462.0000000000,164.0000000000,-164.0000000000,98.8000000000,5.9000000000,-5.9000000000,1.4300000000,0.2600000000,-0.1900000000,1543.0000000000,1341.9000000000,,,19.3000000000,1.0000000000,6333.0000000000,,-82.0000000000,4229.0000000000,99.0000000000,-121.0000000000,1438.0000000000,261.0000000000,-0.1900000000,,43.4032710000,13749.0000000000,0.0
2417,4861791,FALSE POSITIVE,,0.0,0.0,,1.0,5.6295090200,0.0922400000,-0.0922400000,136.8607000000,0.0129000000,-0.0129000000,974.0000000000,31.0000000000,-757.0000000000,6542.0000000000,,-172.0000000000,,,-21.8000000000,2.1100000000,,-0.2000000000,979.0000000000,216.4100000000,178.9700000000,-60.1500000000,,,5822.0000000000,175.0000000000,-192.0000000000,4529.0000000000,0.0440000000,-0.1760000000,898.0000000000,246.0000000000,-82.0000000000,298.0393100000,39.9019390000,15957.0000000000,1.0
2418,4385148,CANDIDATE,954,,,0.0,0.0,13.8430122800,,,139.9533400000,0.0066300000,,52.0000000000,0.4000000000,-52.0000000000,4077.0000000000,165.0000000000,-165.0000000000,567.8000000000,35.9000000000,-35.9000000000,1.9800000000,0.5000000000,,699.0000000000,56.4500000000,43.3500000000,,17.5000000000,,5745.0000000000,181.0000000000,-201.0000000000,4559.0000000000,42.0000000000,-168.0000000000,837.0000000000,209.0000000000,,,39.4059600000,,2.0
2419,4385148,CANDIDATE,973,0.0,0.0,,0.0,24.2758992000,,-0.0002426000,152.4313300000,0.0089700000,-0.0089700000,441.0000000000,505.0000000000,-239.0000000000,4.5900000000,209.0000000000,,,45.0000000000,,,,,,,20.4900000000,-7.5000000000,17.0000000000,,5745.0000000000,181.0000000000,-201.0000000000,,42.0000000000,,837.0000000000,209.0000000000,,296.2645600000,39.4059600000,15.4800000000,
2420,9838468,CANDIDATE,,0.0,0.0,0.0,0.0,54.4099612000,0.0005548000,-0.0005548000,175.4030700000,0.0065800000,-0.0065800000,157.0000000000,275.0000000000,-157.0000000000,9314.0000000000,216.0000000000,-216.0000000000,193.0000000000,10.8000000000,-10.8000000000,1.5600000000,0.2400000000,,513.0000000000,16.3500000000,7.2000000000,,20.8000000000,1.0000000000,5746.0000000000,115.0000000000,-104.0000000000,4309.0000000000,,-0.1120000000,1133.0000000000,,-174.0000000000,294.8310200000,,13852.0000000000,0.0
2421,6781548,FALSE POSITIVE,0.0,0.0,1.0,1.0,1.0,9.1220933600,0.0714900000,-0.0714900000,138.8330600000,0.0078500000,-0.0078500000,,71.8500000000,-298.0000000000,4347.0000000000,226.0000000000,-226.0000000000,906.8000000000,47.7000000000,-47.7000000000,28.1700000000,9.1500000000,-3.0500000000,863.0000000000,131.3500000000,129.4000000000,-40.6900000000,22.2000000000,1.0000000000,5899.0000000000,184.0000000000,,4499.0000000000,0.0400000000,-0.2290000000,0.9600000000,312.0000000000,-104.0000000000,293.0783400000,42.2770390000,15.6760000000,1.0
2422,8617363,CANDIDATE,988,,0.0,0.0,0.0,,0.0797600000,,144.2469000000,,-0.0035100000,94.0000000000,357.0000000000,-94.0000000000,1756.0000000000,121.0000000000,-121.0000000000,861.3000000000,,-65.5000000000,2.5200000000,0.5700000000,,625.0000000000,,24.0600000000,-9.0000000000,16.0000000000,1.0000000000,5749.0000000000,,-170.0000000000,4547.0000000000,0.0400000000,-0.1600000000,864.0000000000,194.0000000000,-69.0000000000,288.9555100000,44.7057000000,15999.0000000000,
2423,11401755,,,1.0,0.0,,,13.8498456700,0.0536400000,-0.0536400000,141.6491400000,0.0032000000,-0.0032000000,12.0000000000,,-12.0000000000,7.2783000000,0.0849000000,-0.0849000000,84.6000000000,,-2.6000000000,1.4500000000,0.0700000000,-0.0700000000,977.0000000000,214.9800000000,29.6800000000,-30.0400000000,35.2000000000,,5919.0000000000,62.0000000000,-71.0000000000,4042.0000000000,0.0300000000,-0.0300000000,1585.0000000000,71.0000000000,,,49.2318340000,11866.0000000000,0.0
2424,7673192,CANDIDATE,0.98,0.0,,0.0,,6.1247977300,0.0323900000,,,0.0042800000,-0.0042800000,0.7900000000,37.0000000000,-545.0000000000,,122.0000000000,-122.0000000000,129.3000000000,6.9000000000,-6.9000000000,1.5100000000,0.2600000000,-0.2400000000,1140.0000000000,399.4300000000,195.4900000000,-139.8600000000,20.1000000000,,6052.0000000000,121.0000000000,,,0.1370000000,-0.1120000000,1202.0000000000,,,288.3702400000,43.3546100000,13.2680000000,0.0
2425,7673192,,1.0,0.0,0.0,0.0,,11.2428481500,0.0764900000,,136.3208400000,0.0056900000,-0.0056900000,0.5200000000,,-406.0000000000,,156.0000000000,-156.0000000000,136.0000000000,8.3000000000,-8.3000000000,1.4400000000,0.2500000000,-0.2200000000,931.0000000000,177.7000000000,86.9800000000,-62.2200000000,17.4000000000,3.0000000000,6052.0000000000,121.0000000000,-133.0000000000,4285.0000000000,0.1370000000,-0.1120000000,1202.0000000000,208.0000000000,-189.0000000000,288.3702400000,43.3546100000,13.2680000000,0.0
2426,7673192,CANDIDATE,997,0.0,,0.0,0.0,4.0287709700,0.0240400000,-0.0240400000,,0.0048700000,-0.0048700000,193.0000000000,265.0000000000,-193.0000000000,3173.0000000000,133.0000000000,,,6.0000000000,-6.0000000000,,0.2100000000,-0.1900000000,1311.0000000000,699.4500000000,342.3200000000,-244.9200000000,18.6000000000,,6052.0000000000,121.0000000000,-133.0000000000,,0.1370000000,,1202.0000000000,,-189.0000000000,,43.3546100000,13.2680000000,0.0
2427,7673192,CANDIDATE,999,0.0,0.0,0.0,0.0,8.9211431800,,-0.0723900000,,,-0.0063200000,0.1200000000,336.0000000000,-0.1200000000,3933.0000000000,183.0000000000,-183.0000000000,110.8000000000,,,1.2700000000,0.2200000000,,1006.0000000000,241.7900000000,,,15.3000000000,4.0000000000,,,-133.0000000000,,0.1370000000,-0.1120000000,1202.0000000000,208.0000000000,-189.0000000000,288.3702400000,43.3546100000,13.2680000000,0.0
2428,,CANDIDATE,1.0,,0.0,0.0,0.0,,0.0282300000,-0.0282300000,172.6138000000,0.0028500000,,,,,4098.0000000000,0.0768000000,-0.0768000000,,,-4.0000000000,1.6800000000,,-0.0900000000,,483.0600000000,75.7000000000,-66.2100000000,32.3000000000,2.0000000000,6237.0000000000,62.0000000000,-74.0000000000,4136.0000000000,33.0000000000,,1543.0000000000,84.0000000000,-75.0000000000,288.1008600000,,10421.0000000000,0.0
2429,7670943,CANDIDATE,,,0.0,0.0,0.0,18.0116497400,0.0512200000,-0.0512200000,185.0916200000,,-0.0023800000,924.0000000000,,-669.0000000000,6.7367000000,0.0596000000,-0.0596000000,107.8000000000,2.1000000000,-2.1000000000,1.8300000000,0.0700000000,-0.1100000000,900.0000000000,155.3700000000,23.5400000000,-27.3700000000,60.8000000000,1.0000000000,,103.0000000000,-116.0000000000,4224.0000000000,33.0000000000,-0.0270000000,1459.0000000000,58.0000000000,-86.0000000000,,,10927.0000000000,2.0
2430,6697756,CANDIDATE,992,0.0,0.0,0.0,0.0,0.9161422980,,,132.0222100000,0.0016700000,-0.0016700000,232.0000000000,256.0000000000,-232.0000000000,,,-0.0545000000,98.5000000000,5.1000000000,-5.1000000000,,0.0500000000,,1212.0000000000,507.4700000000,142.7900000000,-136.3500000000,23.0000000000,1.0000000000,4374.0000000000,118.0000000000,,4.6390000000,,-24.0000000000,614.0000000000,45.0000000000,-56.0000000000,293.6087300000,42.1976810000,14.1070000000,0.0
2431,5649833,FALSE POSITIVE,0.0,0.0,0.0,1.0,1.0,0.5979334730,0.0020870000,-0.0020870000,131.9538600000,,-0.0025500000,562.0000000000,361.0000000000,-0.3300000000,1918.0000000000,112.0000000000,-112.0000000000,106.0000000000,5.2000000000,-5.2000000000,1.2400000000,0.3600000000,,2564.0000000000,,8282.4300000000,,26.0000000000,1.0000000000,6543.0000000000,148.0000000000,-198.0000000000,4382.0000000000,0.0600000000,-0.1800000000,1159.0000000000,333.0000000000,-143.0000000000,299.0788300000,40.8322910000,13364.0000000000,1.0
,10518399,FALSE POSITIVE,0.0,0.0,1.0,1.0,1.0,2.6963649400,,-0.0156600000,,0.0046700000,-0.0046700000,628.0000000000,308.0000000000,-415.0000000000,3892.0000000000,,-159.0000000000,109.0000000000,5.8000000000,,,0.4000000000,-0.3200000000,1406.0000000000,,863.7800000000,-471.7900000000,22.2000000000,1.0000000000,5653.0000000000,152.0000000000,-152.0000000000,4.2500000000,282.0000000000,,1139.0000000000,,-297.0000000000,283.7370600000,47.7971310000,14515.0000000000,1.0
,5905822,CANDIDATE,,0.0,0.0,0.0,0.0,6.9920502100,,,138.0514700000,0.0049300000,-0.0049300000,944.0000000000,6.0000000000,-723.0000000000,5037.0000000000,,-122.0000000000,,1.6000000000,-1.6000000000,1.0600000000,0.1800000000,-0.2000000000,1194.0000000000,479.8700000000,237.6200000000,-188.6000000000,24.4000000000,1.0000000000,6057.0000000000,134.0000000000,-121.0000000000,4.1390000000,168.0000000000,-0.1120000000,1467.0000000000,0.2500000000,-277.0000000000,299.1604900000,41.1437300000,10787.0000000000,2.0
